cr2020-04-08-105232_Samsung_Ladegerat_altes_Kabel.txt
Samsung Ladegerät, altes Kabel running for 10.0 minutes
Core data - After 315.1 seconds  | Throttled: 10000000000000001000 | Temperature: 60.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 316.3 seconds  | Throttled: 10000000000000001000 | Temperature: 59.6'C | Voltage: 1.2500V | Frequency: 1.40GHz
Core data - After 317.4 seconds  | Throttled: 10000000000000001000 | Temperature: 59.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 318.6 seconds  | Throttled: 10000000000000001000 | Temperature: 60.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 329.1 seconds  | Throttled: 10000000000000001000 | Temperature: 60.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 330.3 seconds  | Throttled: 10000000000000001000 | Temperature: 60.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 332.7 seconds  | Throttled: 10000000000000001000 | Temperature: 60.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 335.0 seconds  | Throttled: 10000000000000001000 | Temperature: 61.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 336.2 seconds  | Throttled: 10000000000000001000 | Temperature: 60.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 337.3 seconds  | Throttled: 10000000000000001000 | Temperature: 61.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 339.7 seconds  | Throttled: 10000000000000001000 | Temperature: 61.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 340.9 seconds  | Throttled: 10000000000000001000 | Temperature: 61.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 343.2 seconds  | Throttled: 10000000000000001000 | Temperature: 61.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 344.4 seconds  | Throttled: 10000000000000001000 | Temperature: 61.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 346.7 seconds  | Throttled: 10000000000000001000 | Temperature: 62.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 353.8 seconds  | Throttled: 10000000000000001000 | Temperature: 62.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 355.0 seconds  | Throttled: 10000000000000001000 | Temperature: 62.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 356.1 seconds  | Throttled: 10000000000000001000 | Temperature: 62.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 357.3 seconds  | Throttled: 10000000000000001000 | Temperature: 62.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 358.5 seconds  | Throttled: 10000000000000001000 | Temperature: 63.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 360.8 seconds  | Throttled: 10000000000000001000 | Temperature: 62.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 362.0 seconds  | Throttled: 10000000000000001000 | Temperature: 63.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 367.9 seconds  | Throttled: 10000000000000001000 | Temperature: 63.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 369.0 seconds  | Throttled: 10000000000000001000 | Temperature: 63.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 370.2 seconds  | Throttled: 10000000000000001000 | Temperature: 63.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 371.4 seconds  | Throttled: 10000000000000001000 | Temperature: 63.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 372.6 seconds  | Throttled: 10000000000000001000 | Temperature: 64.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 374.9 seconds  | Throttled: 10000000000000001000 | Temperature: 63.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 376.1 seconds  | Throttled: 10000000000000001000 | Temperature: 63.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 377.3 seconds  | Throttled: 10000000000000001000 | Temperature: 64.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 385.5 seconds  | Throttled: 10000000000000001000 | Temperature: 65.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 387.8 seconds  | Throttled: 10000000000000001000 | Temperature: 64.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 389.0 seconds  | Throttled: 10000000000000001000 | Temperature: 65.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 391.4 seconds  | Throttled: 10000000000000001000 | Temperature: 65.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 401.9 seconds  | Throttled: 10000000000000001000 | Temperature: 66.6'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 403.1 seconds  | Throttled: 10000000000000001000 | Temperature: 66.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 404.2 seconds  | Throttled: 10000000000000001000 | Temperature: 65.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 405.4 seconds  | Throttled: 10000000000000001000 | Temperature: 66.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 407.8 seconds  | Throttled: 10000000000000001000 | Temperature: 65.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 408.9 seconds  | Throttled: 10000000000000001000 | Temperature: 66.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 410.1 seconds  | Throttled: 10000000000000001000 | Temperature: 65.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 411.3 seconds  | Throttled: 10000000000000001000 | Temperature: 66.6'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 413.6 seconds  | Throttled: 10000000000000001000 | Temperature: 65.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 414.7 seconds  | Throttled: 10000000000000001000 | Temperature: 66.6'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 424.1 seconds  | Throttled: 10000000000000001000 | Temperature: 67.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 425.3 seconds  | Throttled: 10000000000000001000 | Temperature: 67.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 426.4 seconds  | Throttled: 10000000000000001000 | Temperature: 66.6'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 430.0 seconds  | Throttled: 10000000000000001000 | Temperature: 67.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 431.1 seconds  | Throttled: 10000000000000001000 | Temperature: 67.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 433.5 seconds  | Throttled: 10000000000000001000 | Temperature: 67.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 434.6 seconds  | Throttled: 10000000000000001000 | Temperature: 67.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 437.0 seconds  | Throttled: 10000000000000001000 | Temperature: 67.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 439.4 seconds  | Throttled: 10000000000000001000 | Temperature: 67.7'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 444.1 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 445.3 seconds  | Throttled: 10000000000000001000 | Temperature: 68.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 446.5 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 447.7 seconds  | Throttled: 10000000000000001000 | Temperature: 68.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 450.0 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 451.2 seconds  | Throttled: 10000000000000001000 | Temperature: 68.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 452.4 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 455.9 seconds  | Throttled: 10000000000000001000 | Temperature: 68.2'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 457.1 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 463.0 seconds  | Throttled: 10000000000000001000 | Temperature: 69.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 464.1 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 472.3 seconds  | Throttled: 10000000000000001000 | Temperature: 69.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 473.5 seconds  | Throttled: 10000000000000001000 | Temperature: 68.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 475.8 seconds  | Throttled: 10000000000000001000 | Temperature: 69.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 478.1 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 481.6 seconds  | Throttled: 10000000000000001000 | Temperature: 69.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 482.8 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 485.1 seconds  | Throttled: 10000000000000001000 | Temperature: 69.3'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 486.3 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 492.2 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
