cr2020-04-08-225035_Samsung_schwarz_Netzteil_Kabel_mit_Druckschalter.txt
Samsung schwarz Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After   8.5 seconds  | Throttled: 1010000000000000101 | Temperature: 40.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After   9.5 seconds  | Throttled: 1010000000000000101 | Temperature: 40.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After  10.6 seconds  | Throttled: 1010000000000000101 | Temperature: 40.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After  79.3 seconds  | Throttled: 1010000000000000101 | Temperature: 41.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After  80.4 seconds  | Throttled: 1010000000000000101 | Temperature: 41.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 300.3 seconds  | Throttled: 1010000000000000101 | Temperature: 42.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 301.5 seconds  | Throttled: 1010000000000000101 | Temperature: 44.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 302.7 seconds  | Throttled: 1010000000000000101 | Temperature: 44.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 303.9 seconds  | Throttled: 1010000000000000101 | Temperature: 45.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 305.0 seconds  | Throttled: 1010000000000000101 | Temperature: 46.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 306.2 seconds  | Throttled: 1010000000000000101 | Temperature: 45.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 307.4 seconds  | Throttled: 1010000000000000101 | Temperature: 46.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 308.6 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 312.2 seconds  | Throttled: 1010000000000000101 | Temperature: 46.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 313.4 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 315.8 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 318.2 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 319.4 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 320.6 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 321.8 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 323.0 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 332.5 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 336.1 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 337.3 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 339.7 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 340.8 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 342.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 346.8 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 348.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 349.2 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 350.4 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 352.8 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 355.2 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 356.4 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 357.6 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 358.8 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 360.0 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 361.2 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 362.4 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 363.6 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 364.8 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 366.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 367.2 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 368.3 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 373.1 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 374.3 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 379.1 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 381.5 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 383.9 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 385.0 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 386.2 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 387.5 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 388.7 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 389.9 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
