cr2020-04-09-062816_Weises_Netzteil_Kabel_mit_Druckschalter.txt
Weises Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After  52.8 seconds  | Throttled: 1010000000000000101 | Temperature: 34.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After  54.9 seconds  | Throttled: 1010000000000000101 | Temperature: 34.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 113.0 seconds  | Throttled: 1010000000000000101 | Temperature: 36.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 114.1 seconds  | Throttled: 1010000000000000101 | Temperature: 35.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 115.1 seconds  | Throttled: 1010000000000000101 | Temperature: 36.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 233.4 seconds  | Throttled: 1010000000000000101 | Temperature: 37.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 234.5 seconds  | Throttled: 1010000000000000101 | Temperature: 38.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 235.6 seconds  | Throttled: 1010000000000000101 | Temperature: 38.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 293.7 seconds  | Throttled: 1010000000000000101 | Temperature: 39.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 294.8 seconds  | Throttled: 1010000000000000101 | Temperature: 38.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 301.1 seconds  | Throttled: 1010000000000000101 | Temperature: 39.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 303.5 seconds  | Throttled: 1010000000000000101 | Temperature: 41.3'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 304.7 seconds  | Throttled: 1010000000000000101 | Temperature: 41.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 305.9 seconds  | Throttled: 1010000000000000101 | Temperature: 41.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 308.3 seconds  | Throttled: 1010000000000000101 | Temperature: 41.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 309.5 seconds  | Throttled: 1010000000000000101 | Temperature: 42.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 310.7 seconds  | Throttled: 1010000000000000101 | Temperature: 42.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 311.8 seconds  | Throttled: 1010000000000000101 | Temperature: 43.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 313.0 seconds  | Throttled: 1010000000000000101 | Temperature: 42.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 315.4 seconds  | Throttled: 1010000000000000101 | Temperature: 43.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 317.8 seconds  | Throttled: 1010000000000000101 | Temperature: 44.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 319.0 seconds  | Throttled: 1010000000000000101 | Temperature: 43.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 321.4 seconds  | Throttled: 1010000000000000101 | Temperature: 44.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 322.6 seconds  | Throttled: 1010000000000000101 | Temperature: 44.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 323.8 seconds  | Throttled: 1010000000000000101 | Temperature: 44.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 326.2 seconds  | Throttled: 1010000000000000101 | Temperature: 44.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 328.5 seconds  | Throttled: 1010000000000000101 | Temperature: 45.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
