data/cr2020-04-09-125646_Weisses_Ladegerat_schwarzes_Kabel_mit_Druckschalter.txt
Weisses Ladegerät, schwarzes Kabel mit Druckschalter
Core data - After   0.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  0%  | [  0%,   0%,   0%,   0%]
Core data - After  11.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   1%]
Core data - After  22.4 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   2%,   1%]
Core data - After  33.6 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   2%,   1%]
Core data - After  44.8 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  5%,   5%,   4%,   1%]
Core data - After  56.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   0%]
Core data - After  67.3 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   2%,   2%]
Core data - After  78.5 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  4%,   4%,   4%,   3%]
Core data - After  89.8 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   4%,   0%]
Core data - After 101.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   1%]
Core data - After 112.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   3%,   1%]
