data/cr2020-04-09-141007_Weisses_Ladegerat_weisses_langes_Kabel.txt
Weisses Ladegerät, weisses, langes Kabel
Core data - After   0.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.1'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  2%  | [  5%,   3%,   1%,   1%]
Core data - After  11.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.6'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  5%  | [  7%,   7%,   4%,   3%]
Core data - After  22.4 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 46.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load: 11%  | [ 12%,  12%,  12%,   6%]
Core data - After  33.5 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.1'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  6%  | [ 11%,   7%,   4%,   3%]
Core data - After  44.7 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.1'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   2%,   2%]
Core data - After  55.9 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.6'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  8%,   6%,   2%,   2%]
Core data - After  67.1 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 46.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  5%  | [ 10%,   5%,   2%,   2%]
Core data - After  78.3 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 45.1'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   3%,   3%,   2%]
Core data - After  89.6 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.8'C | Volt: 1.3500V | Freq: 1.40GHz | Load: 24%  | [ 48%,  36%,   6%,   5%]
Core data - After 101.5 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.8'C | Volt: 1.2000V | Freq: 0.60GHz | Load: 14%  | [ 21%,  17%,  13%,   7%]
Core data - After 112.6 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [ 10%,   4%,   2%,   1%]
Core data - After 123.6 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  8%  | [ 12%,  10%,   9%,   2%]
Core data - After 134.8 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 46.7'C | Volt: 1.3500V | Freq: 1.40GHz | Load:  9%  | [ 12%,  10%,  10%,   4%]
Core data - After 145.8 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.8'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  8%  | [ 11%,   7%,   7%,   6%]
Core data - After 157.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load: 11%  | [ 18%,  12%,  11%,   2%]
Core data - After 168.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 1.40GHz | Load: 11%  | [ 18%,  13%,  11%,   4%]
Core data - After 179.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 48.3'C | Volt: 1.2000V | Freq: 0.60GHz | Load: 13%  | [ 21%,  17%,   9%,   6%]
Core data - After 190.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  7%  | [ 10%,   9%,   5%,   4%]
Core data - After 201.3 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 47.2'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  7%  | [ 12%,  11%,   3%,   3%]
