data/cr2020-04-09-144144_Weisses_Ladegerat_schwarzes_Kabel_mit_Druckschalter.txt
Weisses Ladegerät, schwarzes Kabel mit Druckschalter
Core data - After   0.0 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  5%,   3%,   3%,   2%]
Core data - After   4.5 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load: 12%  | [ 25%,  14%,   6%,   4%]
Core data - After   5.6 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  9%  | [ 28%,   4%,   3%,   3%]
Core data - After  10.1 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 1.40GHz | Load: 18%  | [ 43%,  18%,   8%,   4%]
Core data - After  11.2 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.9°C | Volt: 1.2000V | Freq: 1.40GHz | Load: 20%  | [ 37%,  21%,  19%,   4%]
Core data - After  12.3 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 1.40GHz | Load: 22%  | [ 32%,  26%,  21%,   9%]
Core data - After  13.5 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 0.60GHz | Load: 11%  | [ 26%,  11%,   3%,   3%]
Core data - After  14.6 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [ 12%,   3%,   2%,   2%]
Core data - After  22.4 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  7%,   4%,   3%,   3%]
Core data - After  23.5 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  7%,   6%,   3%,   2%]
Core data - After  24.6 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  8%,   3%,   3%,   3%]
Core data - After  33.6 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 48.3°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   1%]
Core data - After  44.8 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   2%,   2%]
Core data - After  56.0 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  6%,   4%,   2%,   1%]
Core data - After  67.1 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load:  4%  | [  6%,   4%,   3%,   3%]
Core data - After  78.3 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   3%,   1%]
Core data - After  82.8 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   2%,   2%]
