data/cr2020-04-09-145112_Weisses_Ladegerat_schwarzes_Kabel_mit_Druckschalter.txt
Weisses Ladegerät, schwarzes Kabel mit Druckschalter
Core data - After   0.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.3500V | Freq: 1.40GHz | Load:  2%  | [  2%,   2%,   2%,   0%]
Core data - After  11.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   3%,   1%]
Core data - After  22.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 51.0°C | Volt:  1.2000V | Freq: 1.40GHz | Load:  4%  | [  6%,   5%,   2%,   1%]
Core data - After  33.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 49.9°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   5%,   2%,   2%]
Core data - After  44.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.2000V | Freq: 1.40GHz | Load:  7%  | [ 12%,   7%,   6%,   4%]
Core data - After  56.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   2%,   2%]
Core data - After  67.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   3%,   3%]
Core data - After  78.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   3%,   3%]
Core data - After  89.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.9°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   4%,   1%]
Core data - After 100.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   4%,   1%]
Core data - After 112.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   2%,   2%,   2%]
Core data - After 123.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.9°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   2%]
Core data - After 134.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   4%,   1%]
Core data - After 145.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   4%,   2%]
Core data - After 156.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  6%  | [ 10%,   7%,   4%,   3%]
Core data - After 168.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.9°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   1%]
Core data - After 174.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   4%,   2%]
Core data - After 175.8 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   4%,   1%]
Core data - After 176.9 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  5%,   5%,   4%,   3%]
Core data - After 179.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   2%]
Core data - After 190.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   1%]
Core data - After 201.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   3%,   1%]
Core data - After 212.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.9°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  7%,   4%,   3%,   2%]
Core data - After 224.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   4%,   2%]
Core data - After 235.2 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   6%,   3%,   3%]
Core data - After 236.3 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   6%,   2%,   2%]
Core data - After 246.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   2%,   2%]
Core data - After 257.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  7%,   6%,   3%,   2%]
Core data - After 268.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 1.40GHz | Load:  4%  | [  5%,   4%,   4%,   2%]
Core data - After 280.0 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  5%,   4%,   4%,   1%]
Core data - After 291.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   4%,   2%]
Core data - After 294.6 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   4%,   1%]
Core data - After 295.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   4%,   3%]
Core data - After 296.8 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt:  1.2000V | Freq: 1.40GHz | Load:  5%  | [  6%,   6%,   4%,   3%]
Core data - After 300.2 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 48.3°C | Volt:  1.2000V | Freq: 1.40GHz | Load: 37%  | [ 40%,  36%,  36%,  35%]
Core data - After 301.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 303.1 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 49.4°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 304.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 305.9 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 50.5°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 307.3 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 51.0°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 308.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 51.5°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 310.1 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.1°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 311.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.1°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 312.9 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.1°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 314.3 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.1°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 315.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.1°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 317.1 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.6°C | Volt:  1.3500V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 318.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.6°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 319.9 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.6°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 321.3 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.6°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 322.6 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 52.6°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
Core data - After 324.0 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 53.2°C | Volt:  1.2000V | Freq: 1.40GHz | Load:100%  | [100%, 100%, 100%, 100%]
