data/cr2020-04-09-213141_Weisses_Ladegerat_Kabel_mit_Druckschalter_schwarz.txt
Weisses Ladegerät, Kabel mit Druckschalter schwarz
Core data - After   0.0 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 1.40GHz | Load: 37%  | [ 60%,  34%,  30%,  25%]
Core data - After   1.2 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load: 15%  | [ 40%,  10%,   6%,   4%]
Core data - After   2.3 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load: 11%  | [ 22%,  10%,   8%,   4%]
Core data - After   3.4 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load: 10%  | [ 19%,  11%,   6%,   4%]
Core data - After   4.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  9%  | [ 20%,   8%,   6%,   4%]
Core data - After  11.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   2%,   1%]
Core data - After  12.4 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  8%  | [ 20%,   6%,   4%,   2%]
Core data - After  13.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  9%  | [ 26%,   4%,   4%,   2%]
Core data - After  22.5 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   3%,   3%,   2%]
Core data - After  27.0 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   3%,   2%]
Core data - After  28.1 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load: 10%  | [ 23%,   9%,   5%,   1%]
