data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After   8.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  65.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  12%  | [ 10%, 10%, 13%, 13%]
Core data - After  18.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  65.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  13%  | [ 13%, 12%, 16%, 12%]
Core data - After  28.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  64.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 13%, 10%, 11%, 10%]
Core data - After  38.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  65.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 11%, 13%, 10%, 11%]
Core data - After  48.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  65.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 11%, 10%, 12%, 12%]
Core data - After  58.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  66.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 11%, 10%, 12%, 11%]
Core data - After  68.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  66.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  12%  | [ 11%, 16%, 11%, 10%]
Core data - After  78.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  66.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  14%  | [ 11%, 13%, 16%, 16%]
Core data - After  88.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  68.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  15%  | [ 13%, 15%, 20%, 11%]
Core data - After  98.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  68.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  15%  | [ 12%, 22%, 15%, 13%]
Core data - After 108.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  67.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  20%  | [ 17%, 14%, 30%, 19%]
Core data - After 118.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  68.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  24%  | [ 31%, 31%, 13%, 22%]
Core data - After 128.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  67.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 11%, 10%, 12%, 10%]
Core data - After 138.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  66.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  10%  | [  9%, 10%, 12%, 10%]
Core data - After 148.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  66.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  11%  | [ 10%, 11%, 12%, 10%]
Core data - After 158.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  68.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 30%, 33%, 30%]
Core data - After 168.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  70.6°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 31%, 32%, 30%, 30%]
Core data - After 178.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 33%, 30%, 30%]
Core data - After 188.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.6°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 33%, 30%, 30%]
Core data - After 198.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  70.6°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 208.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  70.6°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 30%, 30%]
Core data - After 218.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.6°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 33%, 30%, 30%]
Core data - After 228.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 31%, 31%, 31%, 30%]
Core data - After 238.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 248.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 258.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 268.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  71.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 33%, 30%, 31%]
Core data - After 278.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 33%, 30%, 30%]
Core data - After 288.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.1°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 31%, 30%, 31%]
Core data - After 298.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 308.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  75.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 318.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  76.9°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 328.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  77.9°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  59%  | [ 59%, 59%, 59%, 59%]
